[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/351 [00:00<?, ?it/s]Loading weights:   4%|▍         | 14/351 [00:00<00:04, 83.81it/s]Loading weights:   8%|▊         | 27/351 [00:00<00:04, 75.17it/s]Loading weights:  11%|█▏        | 40/351 [00:00<00:04, 72.42it/s]Loading weights:  15%|█▌        | 53/351 [00:00<00:04, 70.92it/s]Loading weights:  19%|█▉        | 66/351 [00:00<00:04, 70.66it/s]Loading weights:  23%|██▎       | 79/351 [00:01<00:03, 69.95it/s]Loading weights:  26%|██▌       | 92/351 [00:01<00:03, 70.22it/s]Loading weights:  30%|██▉       | 105/351 [00:01<00:03, 69.57it/s]Loading weights:  34%|███▎      | 118/351 [00:01<00:03, 69.55it/s]Loading weights:  37%|███▋      | 131/351 [00:01<00:03, 66.74it/s]Loading weights:  41%|████      | 144/351 [00:02<00:03, 67.52it/s]Loading weights:  45%|████▍     | 157/351 [00:02<00:02, 67.69it/s]Loading weights:  48%|████▊     | 170/351 [00:02<00:02, 68.81it/s]Loading weights:  52%|█████▏    | 183/351 [00:02<00:02, 68.31it/s]Loading weights:  56%|█████▌    | 196/351 [00:02<00:02, 68.47it/s]Loading weights:  60%|█████▉    | 209/351 [00:03<00:02, 68.84it/s]Loading weights:  63%|██████▎   | 222/351 [00:03<00:01, 68.77it/s]Loading weights:  67%|██████▋   | 235/351 [00:03<00:01, 68.63it/s]Loading weights:  71%|███████   | 248/351 [00:03<00:01, 69.22it/s]Loading weights:  74%|███████▍  | 261/351 [00:03<00:01, 69.23it/s]Loading weights:  78%|███████▊  | 274/351 [00:03<00:01, 69.38it/s]Loading weights:  82%|████████▏ | 287/351 [00:04<00:00, 68.54it/s]Loading weights:  85%|████████▌ | 300/351 [00:04<00:00, 68.93it/s]Loading weights:  89%|████████▉ | 313/351 [00:04<00:00, 70.51it/s]Loading weights:  93%|█████████▎| 326/351 [00:04<00:00, 72.38it/s]Loading weights:  97%|█████████▋| 339/351 [00:04<00:00, 72.45it/s]Loading weights: 100%|██████████| 351/351 [00:04<00:00, 72.24it/s]
[rkv b256] 1/50 acc=0/1 evict=3 kv=268 (29.5s)
[rkv b256] 2/50 acc=1/2 evict=0 kv=249 (6.8s)
[rkv b256] 3/50 acc=1/3 evict=2 kv=266 (21.4s)
[rkv b256] 4/50 acc=2/4 evict=0 kv=180 (4.2s)
[rkv b256] 5/50 acc=2/5 evict=8 kv=272 (65.4s)
[rkv b256] 6/50 acc=2/6 evict=13 kv=269 (105.1s)
[rkv b256] 7/50 acc=3/7 evict=1 kv=276 (14.7s)
[rkv b256] 8/50 acc=3/8 evict=6 kv=277 (52.2s)
[rkv b256] 9/50 acc=3/9 evict=7 kv=269 (57.6s)
[rkv b256] 10/50 acc=4/10 evict=0 kv=283 (6.9s)
[rkv b256] 11/50 acc=5/11 evict=1 kv=283 (14.6s)
[rkv b256] 12/50 acc=6/12 evict=4 kv=288 (37.0s)
[rkv b256] 13/50 acc=6/13 evict=4 kv=282 (36.7s)
[rkv b256] 14/50 acc=7/14 evict=5 kv=277 (44.4s)
[rkv b256] 15/50 acc=7/15 evict=0 kv=274 (6.8s)
[rkv b256] 16/50 acc=7/16 evict=10 kv=259 (80.3s)
[rkv b256] 17/50 acc=7/17 evict=3 kv=258 (28.8s)
[rkv b256] 18/50 acc=8/18 evict=4 kv=260 (36.6s)
[rkv b256] 19/50 acc=8/19 evict=2 kv=285 (22.9s)
[rkv b256] 20/50 acc=8/20 evict=0 kv=262 (6.0s)
[rkv b256] 21/50 acc=8/21 evict=7 kv=270 (59.3s)
[rkv b256] 22/50 acc=8/22 evict=0 kv=201 (4.7s)
[rkv b256] 23/50 acc=9/23 evict=0 kv=257 (6.2s)
[rkv b256] 24/50 acc=9/24 evict=0 kv=232 (5.8s)
[rkv b256] 25/50 acc=9/25 evict=0 kv=240 (6.1s)
[rkv b256] 26/50 acc=10/26 evict=1 kv=268 (13.6s)
[rkv b256] 27/50 acc=10/27 evict=3 kv=259 (28.2s)
[rkv b256] 28/50 acc=10/28 evict=0 kv=245 (5.8s)
[rkv b256] 29/50 acc=10/29 evict=0 kv=251 (6.2s)
[rkv b256] 30/50 acc=10/30 evict=0 kv=249 (5.5s)
[rkv b256] 31/50 acc=11/31 evict=4 kv=285 (37.9s)
[rkv b256] 32/50 acc=12/32 evict=1 kv=281 (14.4s)
[rkv b256] 33/50 acc=12/33 evict=0 kv=274 (7.3s)
[rkv b256] 34/50 acc=13/34 evict=2 kv=274 (22.6s)
[rkv b256] 35/50 acc=14/35 evict=0 kv=209 (4.9s)
[rkv b256] 36/50 acc=15/36 evict=4 kv=262 (36.5s)
[rkv b256] 37/50 acc=15/37 evict=0 kv=184 (4.0s)
[rkv b256] 38/50 acc=15/38 evict=3 kv=266 (28.8s)
[rkv b256] 39/50 acc=16/39 evict=5 kv=258 (44.5s)
[rkv b256] 40/50 acc=16/40 evict=13 kv=267 (104.2s)
[rkv b256] 41/50 acc=17/41 evict=0 kv=175 (3.5s)
[rkv b256] 42/50 acc=18/42 evict=0 kv=275 (4.3s)
[rkv b256] 43/50 acc=19/43 evict=0 kv=282 (6.1s)
[rkv b256] 44/50 acc=19/44 evict=1 kv=277 (14.1s)
[rkv b256] 45/50 acc=19/45 evict=3 kv=269 (28.5s)
[rkv b256] 46/50 acc=20/46 evict=4 kv=263 (35.2s)
[rkv b256] 47/50 acc=20/47 evict=1 kv=280 (13.0s)
[rkv b256] 48/50 acc=20/48 evict=3 kv=263 (29.1s)
[rkv b256] 49/50 acc=21/49 evict=0 kv=164 (3.6s)
[rkv b256] 50/50 acc=22/50 evict=0 kv=261 (6.7s)
SUMMARY {"arm": "rkv", "budget": 256, "buffer": 32, "mix_lambda": 0.1, "n": 50, "accuracy": 0.44, "mean_evictions": 2.56, "wall_total_s": 1268.5}
