[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/351 [00:00<?, ?it/s]Loading weights:   4%|▍         | 14/351 [00:00<00:05, 66.52it/s]Loading weights:   8%|▊         | 27/351 [00:00<00:05, 62.84it/s]Loading weights:  11%|█▏        | 40/351 [00:00<00:05, 60.99it/s]Loading weights:  15%|█▌        | 53/351 [00:00<00:04, 60.26it/s]Loading weights:  19%|█▉        | 66/351 [00:01<00:04, 60.53it/s]Loading weights:  23%|██▎       | 79/351 [00:01<00:04, 60.87it/s]Loading weights:  26%|██▌       | 92/351 [00:01<00:04, 60.62it/s]Loading weights:  30%|██▉       | 105/351 [00:01<00:04, 60.58it/s]Loading weights:  34%|███▎      | 118/351 [00:01<00:03, 61.04it/s]Loading weights:  37%|███▋      | 131/351 [00:02<00:03, 59.54it/s]Loading weights:  41%|████      | 144/351 [00:02<00:03, 60.53it/s]Loading weights:  45%|████▍     | 157/351 [00:02<00:03, 61.30it/s]Loading weights:  48%|████▊     | 170/351 [00:02<00:02, 61.83it/s]Loading weights:  52%|█████▏    | 183/351 [00:02<00:02, 61.99it/s]Loading weights:  56%|█████▌    | 196/351 [00:03<00:02, 62.41it/s]Loading weights:  60%|█████▉    | 209/351 [00:03<00:02, 62.67it/s]Loading weights:  63%|██████▎   | 222/351 [00:03<00:02, 62.84it/s]Loading weights:  67%|██████▋   | 235/351 [00:03<00:01, 63.23it/s]Loading weights:  71%|███████   | 248/351 [00:04<00:01, 63.63it/s]Loading weights:  74%|███████▍  | 261/351 [00:04<00:01, 63.66it/s]Loading weights:  78%|███████▊  | 274/351 [00:04<00:01, 63.58it/s]Loading weights:  82%|████████▏ | 287/351 [00:04<00:01, 63.01it/s]Loading weights:  85%|████████▌ | 300/351 [00:04<00:00, 64.59it/s]Loading weights:  89%|████████▉ | 313/351 [00:05<00:00, 65.12it/s]Loading weights:  93%|█████████▎| 326/351 [00:05<00:00, 64.31it/s]Loading weights:  97%|█████████▋| 339/351 [00:05<00:00, 63.79it/s]Loading weights: 100%|██████████| 351/351 [00:05<00:00, 64.53it/s]
[snapkv b128] 1/50 acc=0/1 evict=6 kv=144 (14.7s)
[snapkv b128] 2/50 acc=1/2 evict=3 kv=154 (10.1s)
[snapkv b128] 3/50 acc=1/3 evict=6 kv=132 (14.1s)
[snapkv b128] 4/50 acc=2/4 evict=1 kv=148 (5.4s)
[snapkv b128] 5/50 acc=2/5 evict=8 kv=135 (15.5s)
[snapkv b128] 6/50 acc=2/6 evict=9 kv=136 (20.7s)
[snapkv b128] 7/50 acc=3/7 evict=4 kv=141 (10.7s)
[snapkv b128] 8/50 acc=3/8 evict=6 kv=143 (14.2s)
[snapkv b128] 9/50 acc=3/9 evict=9 kv=139 (19.1s)
[snapkv b128] 10/50 acc=3/10 evict=6 kv=148 (13.7s)
[snapkv b128] 11/50 acc=4/11 evict=6 kv=129 (14.0s)
[snapkv b128] 12/50 acc=4/12 evict=4 kv=159 (10.8s)
[snapkv b128] 13/50 acc=4/13 evict=8 kv=129 (17.7s)
[snapkv b128] 14/50 acc=4/14 evict=11 kv=151 (24.9s)
[snapkv b128] 15/50 acc=4/15 evict=4 kv=153 (10.4s)
[snapkv b128] 16/50 acc=4/16 evict=10 kv=145 (21.6s)
[snapkv b128] 17/50 acc=4/17 evict=9 kv=132 (20.4s)
[snapkv b128] 18/50 acc=4/18 evict=9 kv=130 (20.1s)
[snapkv b128] 19/50 acc=4/19 evict=7 kv=130 (16.5s)
[snapkv b128] 20/50 acc=4/20 evict=4 kv=133 (9.7s)
[snapkv b128] 21/50 acc=4/21 evict=18 kv=154 (38.4s)
[snapkv b128] 22/50 acc=4/22 evict=5 kv=130 (12.4s)
[snapkv b128] 23/50 acc=5/23 evict=4 kv=136 (10.2s)
[snapkv b128] 24/50 acc=6/24 evict=5 kv=155 (13.4s)
[snapkv b128] 25/50 acc=6/25 evict=3 kv=142 (9.1s)
[snapkv b128] 26/50 acc=6/26 evict=6 kv=152 (14.7s)
[snapkv b128] 27/50 acc=6/27 evict=4 kv=148 (10.3s)
[snapkv b128] 28/50 acc=6/28 evict=4 kv=153 (11.0s)
[snapkv b128] 29/50 acc=6/29 evict=3 kv=149 (8.6s)
[snapkv b128] 30/50 acc=6/30 evict=7 kv=150 (16.4s)
[snapkv b128] 31/50 acc=6/31 evict=8 kv=135 (18.6s)
[snapkv b128] 32/50 acc=7/32 evict=6 kv=145 (14.4s)
[snapkv b128] 33/50 acc=7/33 evict=2 kv=157 (7.7s)
[snapkv b128] 34/50 acc=7/34 evict=6 kv=129 (14.5s)
[snapkv b128] 35/50 acc=8/35 evict=2 kv=145 (6.9s)
[snapkv b128] 36/50 acc=8/36 evict=11 kv=135 (24.3s)
[snapkv b128] 37/50 acc=8/37 evict=1 kv=153 (5.5s)
[snapkv b128] 38/50 acc=8/38 evict=6 kv=143 (14.4s)
[snapkv b128] 39/50 acc=8/39 evict=8 kv=136 (18.4s)
[snapkv b128] 40/50 acc=8/40 evict=10 kv=146 (21.4s)
[snapkv b128] 41/50 acc=9/41 evict=1 kv=154 (5.3s)
[snapkv b128] 42/50 acc=9/42 evict=4 kv=131 (7.4s)
[snapkv b128] 43/50 acc=10/43 evict=5 kv=133 (11.0s)
[snapkv b128] 44/50 acc=10/44 evict=6 kv=136 (13.8s)
[snapkv b128] 45/50 acc=10/45 evict=8 kv=159 (18.4s)
[snapkv b128] 46/50 acc=11/46 evict=8 kv=152 (16.8s)
[snapkv b128] 47/50 acc=11/47 evict=9 kv=132 (18.9s)
[snapkv b128] 48/50 acc=11/48 evict=6 kv=149 (14.9s)
[snapkv b128] 49/50 acc=12/49 evict=1 kv=132 (4.9s)
[snapkv b128] 50/50 acc=12/50 evict=5 kv=132 (12.5s)
SUMMARY {"arm": "snapkv", "budget": 128, "buffer": 32, "mix_lambda": 0.1, "n": 50, "accuracy": 0.24, "mean_evictions": 6.04, "wall_total_s": 718.6}
